                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 2.4587,                 1.8782,                 1.8027,                 2.4353,                 2.4717,                 1.6401,                0.71839,                0.20496,                0.20703,                0.07518,                 2.6075,                 1.9789,                 1.8723,                 2.4957,                 2.5319,                 1.7291,             0.00046226,             0.00046226,             0.00046226
                     76,                 2.4389,                   1.83,                 1.7678,                 2.4381,                 2.4041,                 1.6078,                0.72304,                0.22193,                 0.2083,                0.07087,                 2.5853,                 2.0223,                 1.8547,                 2.4553,                 2.6445,                 1.7124,             0.00044576,             0.00044576,             0.00044576
                     77,                 2.4579,                 1.8191,                 1.7551,                  2.453,                 2.4057,                 1.5981,                0.70959,                0.20888,                0.20721,                0.06946,                 2.5891,                 2.0488,                 1.8593,                  2.476,                 2.6837,                  1.711,             0.00042925,             0.00042925,             0.00042925
                     78,                 2.4319,                 1.8676,                 1.7965,                 2.4388,                 2.4622,                 1.6474,                0.71815,                0.20496,                0.21303,                0.07267,                 2.5981,                 2.0281,                 1.8652,                 2.4701,                 2.6242,                 1.7186,             0.00041275,             0.00041275,             0.00041275
                     79,                 2.4515,                  1.859,                  1.786,                 2.4464,                 2.4193,                 1.6215,                0.73566,                0.19452,                0.21067,                0.07695,                 2.6027,                 1.9921,                 1.8684,                 2.4808,                 2.5588,                 1.7114,             0.00039625,             0.00039625,             0.00039625
                     80,                 2.4263,                 1.8317,                 1.7768,                 2.4104,                 2.3843,                 1.6191,                0.73385,                0.20366,                0.21053,                0.07426,                 2.5892,                 2.0282,                 1.8547,                 2.4786,                 2.6132,                 1.7086,             0.00037974,             0.00037974,             0.00037974
                     81,                  2.418,                 1.8064,                 1.7425,                 2.4094,                 2.3723,                 1.5872,                0.73929,                0.19843,                0.21506,                0.07238,                 2.5934,                 2.0427,                 1.8461,                 2.4571,                 2.6458,                 1.7017,             0.00036324,             0.00036324,             0.00036324
                     82,                 2.4389,                 1.8642,                 1.7602,                 2.4226,                 2.4215,                 1.6041,                0.72399,                0.19493,                0.21329,                0.06961,                  2.601,                 2.0273,                 1.8487,                 2.4686,                 2.5974,                 1.7089,             0.00034674,             0.00034674,             0.00034674
                     83,                 2.4388,                  1.828,                 1.7487,                 2.4202,                 2.3834,                 1.5866,                  0.233,                 0.2253,                0.20514,                0.06847,                  2.621,                 2.0293,                 1.8694,                 2.4873,                 2.5657,                 1.7176,             0.00033023,             0.00033023,             0.00033023
                     84,                 2.4563,                 1.8615,                 1.7909,                 2.4241,                 2.4044,                 1.6389,                0.23749,                0.24844,                0.21093,                0.07441,                 2.6116,                 1.9792,                 1.8679,                 2.4823,                 2.5305,                 1.7141,             0.00031373,             0.00031373,             0.00031373
                     85,                 2.3926,                 1.8852,                 1.8221,                 2.3692,                 2.4656,                 1.6726,                0.36691,                0.21515,                0.21971,                0.07763,                 2.5868,                 2.0015,                 1.8525,                 2.4667,                 2.5707,                 1.7015,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.4226,                  1.845,                 1.8172,                 2.4142,                 2.4314,                 1.6582,                0.23791,                0.26972,                0.22217,                0.08047,                 2.5925,                 1.9969,                 1.8616,                 2.4687,                 2.5641,                 1.6952,             0.00028072,             0.00028072,             0.00028072
                     87,                 2.4414,                 1.8223,                 1.7533,                 2.4068,                  2.374,                 1.5824,                0.27597,                0.23033,                0.23153,                0.08247,                 2.5983,                 1.9821,                 1.8632,                 2.4752,                 2.5243,                 1.7038,             0.00026422,             0.00026422,             0.00026422
                     88,                 2.3954,                   1.84,                 1.7523,                  2.399,                 2.4021,                 1.5875,                0.73217,                0.20257,                0.22194,                0.07544,                 2.5981,                 1.9993,                 1.8654,                 2.4732,                 2.5115,                 1.7236,             0.00024772,             0.00024772,             0.00024772
                     89,                 2.3932,                 1.8223,                 1.7676,                 2.3876,                 2.3658,                 1.6279,                0.72422,                0.19713,                0.21257,                0.07342,                 2.5954,                 1.9861,                 1.8636,                 2.4902,                 2.5156,                 1.7277,             0.00023121,             0.00023121,             0.00023121
